Proto Cap Table - Pre-Seed Scenarios,,,,,,
,,,,,,
CURRENT (Pre-Raise),,,,,,
Shareholder,Shares,Ownership %,,,,
Founder,[Name],10000000,100.00%,,,,
TOTAL,,10000000,100.00%,,,,
,,,,,,
,,,,,,
SCENARIO ANALYSIS - SAFE Conversion at Series A,,,,,,
,,,,,,
Assumptions:,,,,,,
Close A Amount,$400000,,,,,
Close B Amount,$600000,,,,,
Total SAFE Amount,$1000000,,,,,
Series A Raise,$3000000,,,,,
Series A Pre-Money,$15000000,,,,,
Option Pool (new),"15%",,,,,
,,,,,,
,,,,,,
SCENARIO 1: $5M Cap SAFE,,,,,,
,,,,,,
Step 1: Option Pool,,,,,,
,Shares,Ownership,,,,
Pre-pool,10000000,100.00%,,,,
New Option Pool,1764706,15.00%,,,,
Post-pool Total,11764706,100.00%,,,,
,,,,,,
Step 2: SAFE Conversion (at $5M cap),,,,,,
SAFE Investment,$1000000,,,,,
Conversion Price,$0.425,($5M / 11.76M shares),,,,
SAFE Shares,2352941,,,,,
,,,,,,
Step 3: Series A,,,,,,
Series A Investment,$3000000,,,,,
Series A Price,$1.275,($15M / 11.76M shares),,,,
Series A Shares,2352941,,,,,
,,,,,,
FINAL CAP TABLE (Scenario 1: $5M cap),,,,,,
Shareholder,Shares,Ownership %,Investment,Price/Share,Dilution from Start,
Founder,10000000,60.61%,$0,-,-39.39%,
SAFE Investors (Close A+B),2352941,14.26%,"$1,000,000",$0.425,-,
Series A Investors,2352941,14.26%,"$3,000,000",$1.275,-,
Option Pool (unallocated),1764706,10.70%,-,-,-,
TOTAL,16500588,100.00%,"$4,000,000",-,-,
,,,,,,
,,,,,,
SCENARIO 2: $6M Cap SAFE,,,,,,
,,,,,,
SAFE Conversion (at $6M cap),,,,,,
SAFE Investment,$1000000,,,,,
Conversion Price,$0.510,($6M / 11.76M shares),,,,
SAFE Shares,1960784,,,,,
,,,,,,
FINAL CAP TABLE (Scenario 2: $6M cap),,,,,,
Shareholder,Shares,Ownership %,Investment,Price/Share,Dilution from Start,
Founder,10000000,62.24%,$0,-,-37.76%,
SAFE Investors (Close A+B),1960784,12.20%,"$1,000,000",$0.510,-,
Series A Investors,2352941,14.64%,"$3,000,000",$1.275,-,
Option Pool (unallocated),1764706,10.98%,-,-,-,
TOTAL,16078431,100.00%,"$4,000,000",-,-,
,,,,,,
,,,,,,
SCENARIO 3: $8M Cap SAFE,,,,,,
,,,,,,
SAFE Conversion (at $8M cap),,,,,,
SAFE Investment,$1000000,,,,,
Conversion Price,$0.680,($8M / 11.76M shares),,,,
SAFE Shares,1470588,,,,,
,,,,,,
FINAL CAP TABLE (Scenario 3: $8M cap),,,,,,
Shareholder,Shares,Ownership %,Investment,Price/Share,Dilution from Start,
Founder,10000000,64.10%,$0,-,-35.90%,
SAFE Investors (Close A+B),1470588,9.42%,"$1,000,000",$0.680,-,
Series A Investors,2352941,15.08%,"$3,000,000",$1.275,-,
Option Pool (unallocated),1764706,11.31%,-,-,-,
TOTAL,15588235,100.00%,"$4,000,000",-,-,
,,,,,,
,,,,,,
SUMMARY: Founder Dilution by Cap,,,,,,
Valuation Cap,Founder % Post-Series A,SAFE Investor %,Notes,,,
$5M,60.6%,14.3%,Investor-friendly,,,
$6M,62.2%,12.2%,Balanced,,,
$8M,64.1%,9.4%,Founder-friendly,,,
$10M,65.5%,7.7%,Premium,,,
,,,,,,
,,,,,,
NOTES:,,,,,,
"- SAFE = Simple Agreement for Future Equity (YC standard)",,,,,,
"- Assumes no discount, just cap",,,,,,
"- Option pool created at Series A (standard)",,,,,,
"- Series A numbers are illustrative",,,,,,
"- Actual conversion depends on Series A terms",,,,,,
